Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time,
blur,{'blurwindow_size': 5},PCA,20,62,0.016129032,1,0.074796748,0.597821055,17.14695001,
,,,,,,,,,,
blur,{'blurwindow_size': 5},Sparse Representation,20,62,0.016129032,1,0.260162602,1.85E-05,104.4373623,
,,,,,,,,,,
blur,{'blurwindow_size': 5},Sparse Representation Dimension Reduction,20,62,0.016129032,1,0.236856369,0.487338197,16.7359976,
,,,,,,,,,,
blur,{'blurwindow_size': 5},Sparse Representation Combined l1,20,62,0.016129032,1,0.185365854,0.493041936,96.49568349,
,,,,,,,,,,
blur,{'blurwindow_size': 10},PCA,20,62,0.016129032,1,0.069376694,0.645406085,20.67470713,
,,,,,,,,,,
blur,{'blurwindow_size': 10},Sparse Representation,20,62,0.016129032,1,0.229268293,2.11E-05,95.70208817,
,,,,,,,,,,
blur,{'blurwindow_size': 10},Sparse Representation Dimension Reduction,20,62,0.016129032,1,0.136585366,0.476335485,13.48748772,
,,,,,,,,,,
blur,{'blurwindow_size': 10},Sparse Representation Combined l1,20,62,0.016129032,1,0.104065041,0.531417386,89.96915314,
,,,,,,,,,,
dfi,{'transform': 'Senior'},PCA,20,62,0.016129032,1,0.080645161,13.00795,17.218677,
dfi,{'transform': 'Senior'},Sparse Representation,20,62,0.016129032,1,0.225806452,2.50E-05,1328.506611,
dfi,{'transform': 'Senior'},Sparse Representation Dimension Reduction,20,62,0.016129032,1,0.338709677,31.934479,23.878187,
dfi,{'transform': 'Senior'},Sparse Representation Combined l1,20,62,0.016129032,1,0.225806452,31.407338,44.657745,
dfi,{'transform': 'Senior'},SVM,20,62,0.016129032,0.365025467,0.080645161,36.093865,7.383569,
dfi,{'transform': 'Mustache'},PCA,20,62,0.016129032,1,0.064516129,12.686719,19.91383,
dfi,{'transform': 'Mustache'},Sparse Representation,20,62,0.016129032,1,0.225806452,3.30E-05,1299.315029,
dfi,{'transform': 'Mustache'},Sparse Representation Dimension Reduction,20,62,0.016129032,1,0.35483871,32.944156,22.889229,
dfi,{'transform': 'Mustache'},Sparse Representation Combined l1,20,62,0.016129032,1,0.241935484,32.362228,45.249377,
dfi,{'transform': 'Mustache'},SVM,20,62,0.016129032,0.365025467,0.112903226,36.552578,7.445882,
