Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time
none,{},VGG,20,62,0.016129032,0.989247312,0.98614429,2518.814395,704.296187
occlude_lfw,{'occlusion_size': 20},VGG,20,62,0.016129032,0.989247312,0.900621118,2487.495576,700.243438
occlude_lfw,{'occlusion_size': 10},VGG,20,62,0.016129032,0.989247312,0.982799809,2496.483926,699.494234
occlude_lfw,{'occlusion_size': 30},VGG,20,62,0.016129032,0.989247312,0.549450549,2493.69773,707.064284
occlude_lfw,{'occlusion_size': 40},VGG,20,62,0.016129032,0.989247312,0.087434305,2522.696233,697.820506
radial_distortion,{'k': 0.00015},VGG,20,62,0.016129032,0.989247312,0.985188724,2500.99642,704.957324
radial_distortion,{'k': -0.00015},VGG,20,62,0.016129032,0.989247312,0.985666507,2508.600858,708.250574
radial_distortion,{'k': 0.0003},VGG,20,62,0.016129032,0.989247312,0.970855232,2502.458067,701.100064
radial_distortion,{'k': -0.0003},VGG,20,62,0.016129032,0.989247312,0.974199713,2493.627045,701.562441
radial_distortion,{'k': 0.0005},VGG,20,62,0.016129032,0.989247312,0.877209747,2508.724039,704.525739
radial_distortion,{'k': -0.0005},VGG,20,62,0.016129032,0.989247312,0.80649785,2506.308369,697.594731
blur,{'blurwindow_size': 5},VGG,20,62,0.016129032,0.989247312,0.983277592,2516.467821,704.315025
blur,{'blurwindow_size': 10},VGG,20,62,0.016129032,0.989247312,0.976110846,2501.234005,702.674946
none,{},PCA,20,62,0.016129032258064516,1.0,0.09032258064516129,1.777100999999675,11.456113000000187
none,{},Sparse Representation,20,62,0.016129032258064516,1.0,0.6290322580645161,4.999999964638846e-05,97.68264699999963
none,{},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.4290322580645161,2.520817999999963,19.345626000000266
none,{},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.34516129032258064,2.518630999999914,42.292795999999726
none,{},SVM,20,62,0.016129032258064516,0.3763440860215054,0.17419354838709677,4.550437999999303,2.0473650000003545
occlude_lfw,{'occlusion_size': 20},PCA,20,62,0.016129032258064516,1.0,0.016129032258064516,1.7355749999996988,10.084288000000015
occlude_lfw,{'occlusion_size': 20},Sparse Representation,20,62,0.016129032258064516,1.0,0.025806451612903226,3.399999968678458e-05,95.74355300000025
occlude_lfw,{'occlusion_size': 20},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.0032258064516129032,2.757980000000316,22.327580000000125
occlude_lfw,{'occlusion_size': 20},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.016129032258064516,2.5536990000000515,45.84323399999994
occlude_lfw,{'occlusion_size': 20},SVM,20,62,0.016129032258064516,0.3763440860215054,0.016129032258064516,4.544584000000214,2.0409010000003036
occlude_lfw,{'occlusion_size': 10},PCA,20,62,0.016129032258064516,1.0,0.025806451612903226,1.800654000000577,6.5955000000003565
occlude_lfw,{'occlusion_size': 10},Sparse Representation,20,62,0.016129032258064516,1.0,0.016129032258064516,2.5999999706982635e-05,94.25314199999957
occlude_lfw,{'occlusion_size': 10},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.012903225806451613,2.6960870000002615,22.23902899999939
occlude_lfw,{'occlusion_size': 10},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.01935483870967742,2.7018150000003516,44.68684099999973
occlude_lfw,{'occlusion_size': 10},SVM,20,62,0.016129032258064516,0.3763440860215054,0.016129032258064516,4.3642509999999675,2.0355310000004465
occlude_lfw,{'occlusion_size': 30},PCA,20,62,0.016129032258064516,1.0,0.012903225806451613,1.6901480000005904,7.612162999999782
occlude_lfw,{'occlusion_size': 30},Sparse Representation,20,62,0.016129032258064516,1.0,0.016129032258064516,2.499999936844688e-05,92.2989349999998
occlude_lfw,{'occlusion_size': 30},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.016129032258064516,2.637423000000126,22.589610999999422
