Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time
occlude_lfw,{'occlusion_size': 30},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.016129032258064516,2.3711220000004687,45.176195999999436
occlude_lfw,{'occlusion_size': 30},SVM,20,62,0.016129032258064516,0.3763440860215054,0.016129032258064516,4.223471000000245,2.0522579999997106
occlude_lfw,{'occlusion_size': 40},PCA,20,62,0.016129032258064516,1.0,0.00967741935483871,1.4560579999997572,7.370335999999952
occlude_lfw,{'occlusion_size': 40},Sparse Representation,20,62,0.016129032258064516,1.0,0.016129032258064516,5.000000055588316e-05,91.2762300000004
occlude_lfw,{'occlusion_size': 40},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.0,2.6273369999998977,21.312415999999757
occlude_lfw,{'occlusion_size': 40},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.012903225806451613,2.432495000000017,43.95214699999997
occlude_lfw,{'occlusion_size': 40},SVM,20,62,0.016129032258064516,0.3763440860215054,0.016129032258064516,4.48222799999985,2.1763199999995777
radial_distortion,{'k': 0.00015},PCA,20,62,0.016129032258064516,1.0,0.07096774193548387,1.6139140000004772,7.4037719999996625
radial_distortion,{'k': 0.00015},Sparse Representation,20,62,0.016129032258064516,1.0,0.22258064516129034,3.699999979289714e-05,86.49913600000036
radial_distortion,{'k': 0.00015},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.1774193548387097,2.669380000000274,19.412116999999853
radial_distortion,{'k': 0.00015},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.16129032258064516,2.2313930000000255,44.41193600000042
radial_distortion,{'k': 0.00015},SVM,20,62,0.016129032258064516,0.3763440860215054,0.11935483870967742,4.602426999999807,2.1891340000001946
radial_distortion,{'k': -0.00015},PCA,20,62,0.016129032258064516,1.0,0.08709677419354839,1.7536890000001222,8.059495000000425
radial_distortion,{'k': -0.00015},Sparse Representation,20,62,0.016129032258064516,1.0,0.42258064516129035,2.5999999706982635e-05,96.01623500000005
radial_distortion,{'k': -0.00015},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.3,2.4061280000005354,17.2879269999994
radial_distortion,{'k': -0.00015},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.18064516129032257,2.2564739999997983,41.809377000000495
radial_distortion,{'k': -0.00015},SVM,20,62,0.016129032258064516,0.3763440860215054,0.13870967741935483,4.1546980000002804,2.153511999999864
radial_distortion,{'k': 0.0003},PCA,20,62,0.016129032258064516,1.0,0.05806451612903226,1.7547199999999066,7.783785999999964
radial_distortion,{'k': 0.0003},Sparse Representation,20,62,0.016129032258064516,1.0,0.15806451612903225,2.6000000616477337e-05,90.59120699999949
radial_distortion,{'k': 0.0003},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.16451612903225807,2.1863540000003923,18.409497999999985
radial_distortion,{'k': 0.0003},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.1,2.5623240000004444,47.04495400000087
radial_distortion,{'k': 0.0003},SVM,20,62,0.016129032258064516,0.3763440860215054,0.1032258064516129,4.542414999999892,2.144260000000031
radial_distortion,{'k': -0.0003},PCA,20,62,0.016129032258064516,1.0,0.054838709677419356,1.8485110000001441,7.7891230000004725
radial_distortion,{'k': -0.0003},Sparse Representation,20,62,0.016129032258064516,1.0,0.25806451612903225,6.69999999445281e-05,93.91959599999973
radial_distortion,{'k': -0.0003},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.1774193548387097,2.424971000000369,19.136505000000398
radial_distortion,{'k': -0.0003},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.10967741935483871,2.437053999999989,44.01903099999981
radial_distortion,{'k': -0.0003},SVM,20,62,0.016129032258064516,0.3763440860215054,0.1032258064516129,4.7682889999996405,2.127447000000757
radial_distortion,{'k': 0.0005},PCA,20,62,0.016129032258064516,1.0,0.054838709677419356,1.7111500000000888,8.076477000000523
radial_distortion,{'k': 0.0005},Sparse Representation,20,62,0.016129032258064516,1.0,0.06451612903225806,2.8000000384054147e-05,92.85989100000006
radial_distortion,{'k': 0.0005},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.06451612903225806,2.301400000000285,18.40864099999999
radial_distortion,{'k': 0.0005},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.04838709677419355,2.3060820000000604,43.35207400000036
radial_distortion,{'k': 0.0005},SVM,20,62,0.016129032258064516,0.3763440860215054,0.09032258064516129,4.283701999999721,2.0292810000000827
radial_distortion,{'k': -0.0005},PCA,20,62,0.016129032258064516,1.0,0.02903225806451613,1.6086780000005092,7.60885000000053
radial_distortion,{'k': -0.0005},Sparse Representation,20,62,0.016129032258064516,1.0,0.12580645161290321,3.300000025774352e-05,90.09710499999983
radial_distortion,{'k': -0.0005},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.09032258064516129,2.4680420000004233,19.14633800000047
radial_distortion,{'k': -0.0005},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.06451612903225806,2.5800160000007963,40.23474600000009
radial_distortion,{'k': -0.0005},SVM,20,62,0.016129032258064516,0.3763440860215054,0.04838709677419355,3.998779000000468,2.0004429999999047
blur,{'blurwindow_size': 5},PCA,20,62,0.016129032258064516,1.0,0.09032258064516129,1.5000249999993684,7.604804000000513
blur,{'blurwindow_size': 5},Sparse Representation,20,62,0.016129032258064516,1.0,0.46774193548387094,2.4000000848900527e-05,86.01141400000051
blur,{'blurwindow_size': 5},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.33225806451612905,2.185566000000108,17.278564000000188
blur,{'blurwindow_size': 5},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.22258064516129034,2.2461240000002363,42.986133000000336
blur,{'blurwindow_size': 5},SVM,20,62,0.016129032258064516,0.3763440860215054,0.14838709677419354,3.9532230000004347,2.094415000000481
blur,{'blurwindow_size': 10},PCA,20,62,0.016129032258064516,1.0,0.07741935483870968,1.768301000000065,7.567039999999906
blur,{'blurwindow_size': 10},Sparse Representation,20,62,0.016129032258064516,1.0,0.2161290322580645,2.8000000384054147e-05,86.84897199999978
blur,{'blurwindow_size': 10},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.1935483870967742,2.321808000000601,17.005748999999923
blur,{'blurwindow_size': 10},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.11612903225806452,2.209059000000707,39.87172999999984
blur,{'blurwindow_size': 10},SVM,20,62,0.016129032258064516,0.3763440860215054,0.13225806451612904,4.310481999999865,2.0782080000008136
dfi,{'transform': 'Senior'},PCA,20,62,0.016129032258064516,1.0,0.08169934640522876,1.682625000000371,6.780810000000201
dfi,{'transform': 'Senior'},Sparse Representation,20,62,0.016129032258064516,1.0,0.5882352941176471,2.5999999706982635e-05,89.91060300000026
dfi,{'transform': 'Senior'},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.40522875816993464,2.370046000000002,20.10352899999998
dfi,{'transform': 'Senior'},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.27450980392156865,2.3356789999998,42.96239400000013
dfi,{'transform': 'Senior'},SVM,20,62,0.016129032258064516,0.3763440860215054,0.12745098039215685,3.9561540000004243,2.092098000000078
dfi,{'transform': 'Mustache'},PCA,20,62,0.016129032258064516,1.0,0.08496732026143791,1.6566510000002381,8.234545000000253
dfi,{'transform': 'Mustache'},Sparse Representation,20,62,0.016129032258064516,1.0,0.5130718954248366,4.199999966658652e-05,84.60513499999979
dfi,{'transform': 'Mustache'},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.3366013071895425,2.3487379999996847,18.015417999999954
dfi,{'transform': 'Mustache'},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.2908496732026144,2.241939999999886,41.271568000000116
dfi,{'transform': 'Mustache'},SVM,20,62,0.016129032258064516,0.3763440860215054,0.16013071895424835,4.146628999999848,2.0690539999995963
dfi,{'transform': 'Senior'},VGG,20,62,0.016129032258064516,0.66774193548387095,0.26143790849673204,21.40081299999997,195.710195
dfi,{'transform': 'Mustache'},VGG,20,62,0.016129032258064516,0.66774193548387095,0.24836601307189543,21.40081299999997,194.34848499999998
