,Algorithm,default,blur_normalizeddifference,dfi_normalizeddifference,none_normalizeddifference,occlude_lfw_normalizeddifference,radial_distortion_normalizeddifference,blur_difference,dfi_difference,none_difference,occlude_lfw_difference,radial_distortion_difference
PCA,PCA,0.09032258064516127,0.07142857142857131,0.07738095238095208,0.0,0.8214285714285714,0.34523809523809507,0.006451612903225795,0.006989247311827929,0.0,0.07419354838709676,0.03118279569892471
SVM,SVM,0.17419354838709675,0.19444444444444434,0.17453401113531827,0.0,0.9074074074074073,0.4228395061728394,0.03387096774193546,0.030402698713894144,0.0,0.15806451612903222,0.0736559139784946
Sparse Representation,Sparse Representation,0.6290322580645161,0.45641025641025645,0.12460197754315394,0.0,0.9705128205128205,0.6683760683760683,0.2870967741935484,0.07837866329327425,0.0,0.6104838709677419,0.4204301075268817
Sparse Representation Combined l1,Sparse Representation Combined l1,0.34516129032258064,0.5093457943925233,0.18102131818459472,0.0,0.9532710280373832,0.6791277258566979,0.1758064516129032,0.06248155176048914,0.0,0.32903225806451614,0.23440860215053766
Sparse Representation Dimension Reduction,Sparse Representation Dimension Reduction,0.4290322580645161,0.38721804511278185,0.13546120202466957,0.0,0.981203007518797,0.6215538847117794,0.16612903225806447,0.05811722538477759,0.0,0.42096774193548386,0.26666666666666666
VGG,VGG,0.98614429,0.006540697000841588,0.7415165677384657,0.0,0.3610707361597156,0.05361757067686983,0.006450071000000057,0.7312423292156862,0.0,0.3560678447500001,0.052874661166666614
