Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time,Note
none,{},VGG,20,62,0.016129032,0.951612903,0.943602397,2495.030666,142.463919,also for k=5
occlude_lfw,{'occlusion_size': 20},VGG,20,62,0.016129032,0.951612903,0.82375749,2492.815256,144.74302,
occlude_lfw,{'occlusion_size': 10},VGG,20,62,0.016129032,0.951612903,0.942192457,2501.637854,142.73262,
occlude_lfw,{'occlusion_size': 30},VGG,20,62,0.016129032,0.951612903,0.457525555,2468.582654,142.410265,
occlude_lfw,{'occlusion_size': 40},VGG,20,62,0.016129032,0.951612903,0.101515686,2503.652497,141.769302,
radial_distortion,{'k': 0.00015},VGG,20,62,0.016129032,0.951612903,0.938667607,2500.172058,141.008012,
radial_distortion,{'k': -0.00015},VGG,20,62,0.016129032,0.951612903,0.929855481,2490.960458,141.635099,
radial_distortion,{'k': 0.0003},VGG,20,62,0.016129032,0.951612903,0.90729644,2493.499229,142.83027,
radial_distortion,{'k': -0.0003},VGG,20,62,0.016129032,0.951612903,0.909058865,2501.554214,142.93839,
radial_distortion,{'k': 0.0005},VGG,20,62,0.016129032,0.951612903,0.81106803,2501.055259,143.241019,
radial_distortion,{'k': -0.0005},VGG,20,62,0.016129032,0.951612903,0.723651745,2508.751412,142.703213,
blur,{'blurwindow_size': 5},VGG,20,62,0.016129032,0.951612903,0.942544942,2517.935382,141.291877,
blur,{'blurwindow_size': 10},VGG,20,62,0.016129032,0.951612903,0.930560451,2502.774526,142.453317,
none,{},PCA,20,62,0.016129032258064516,1.0,0.05218216318785579,0.1602869999999994,0.3420519999999998,
none,{},Sparse Representation,20,62,0.016129032258064516,1.0,0.2685009487666034,5.699999999997374e-05,70.300589,
none,{},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.18311195445920303,0.12689399999999296,4.81496700000001,
none,{},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.14705882352941177,0.09989300000000867,8.08772900000001,
none,{},SVM,20,62,0.016129032258064516,0.6989247311827957,0.09392789373814042,0.1810130000000072,0.2741979999999984,
occlude_lfw,{'occlusion_size': 20},PCA,20,62,0.016129032258064516,1.0,0.013282732447817837,0.05377699999999663,0.4029870000000102,
occlude_lfw,{'occlusion_size': 20},Sparse Representation,20,62,0.016129032258064516,1.0,0.015180265654648957,4.500000000007276e-05,70.33336800000001,
occlude_lfw,{'occlusion_size': 20},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.021821631878557873,0.10158800000002088,4.657794999999993,
occlude_lfw,{'occlusion_size': 20},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.018026565464895637,0.10869300000001658,7.913848999999999,
occlude_lfw,{'occlusion_size': 20},SVM,20,62,0.016129032258064516,0.6989247311827957,0.016129032258064516,0.17237700000001155,0.26228399999999397,
occlude_lfw,{'occlusion_size': 10},PCA,20,62,0.016129032258064516,1.0,0.012333965844402278,0.04251700000000369,0.3647139999999922,
occlude_lfw,{'occlusion_size': 10},Sparse Representation,20,62,0.016129032258064516,1.0,0.016129032258064516,2.7999999986150215e-05,69.708101,
occlude_lfw,{'occlusion_size': 10},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.016129032258064516,0.10735199999999168,5.016419000000042,
occlude_lfw,{'occlusion_size': 10},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.018975332068311195,0.1153630000000021,8.083004000000017,
occlude_lfw,{'occlusion_size': 10},SVM,20,62,0.016129032258064516,0.6989247311827957,0.016129032258064516,0.1855340000000183,0.24546500000002425,
occlude_lfw,{'occlusion_size': 30},PCA,20,62,0.016129032258064516,1.0,0.017077798861480076,0.0419409999999516,0.4115359999999555,
occlude_lfw,{'occlusion_size': 30},Sparse Representation,20,62,0.016129032258064516,1.0,0.016129032258064516,3.500000002532033e-05,81.47466400000002,
occlude_lfw,{'occlusion_size': 30},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.022770398481973434,0.1284029999999916,5.158800999999983,
occlude_lfw,{'occlusion_size': 30},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.016129032258064516,0.11710300000004281,8.150445999999988,
occlude_lfw,{'occlusion_size': 30},SVM,20,62,0.016129032258064516,0.6989247311827957,0.016129032258064516,0.1667370000000119,0.2471670000000472,
occlude_lfw,{'occlusion_size': 40},PCA,20,62,0.016129032258064516,1.0,0.016129032258064516,0.041685999999970136,0.37632600000000593,
occlude_lfw,{'occlusion_size': 40},Sparse Representation,20,62,0.016129032258064516,1.0,0.009487666034155597,2.599999999119973e-05,72.82478600000002,
occlude_lfw,{'occlusion_size': 40},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.015180265654648957,0.10850500000003649,4.885306000000014,
occlude_lfw,{'occlusion_size': 40},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.017077798861480076,0.10320800000005192,8.21990599999998,
occlude_lfw,{'occlusion_size': 40},SVM,20,62,0.016129032258064516,0.6989247311827957,0.016129032258064516,0.18182400000000598,0.23441099999996595,
radial_distortion,{'k': 0.00015},PCA,20,62,0.016129032258064516,1.0,0.046489563567362426,0.0453499999999849,0.3545700000000238,
radial_distortion,{'k': 0.00015},Sparse Representation,20,62,0.016129032258064516,1.0,0.1527514231499051,5.199999998239946e-05,78.15642599999995,
radial_distortion,{'k': 0.00015},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.12998102466793168,0.10421099999996386,4.993192000000022,
radial_distortion,{'k': 0.00015},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.09772296015180265,0.10043300000006639,7.9913400000000365,
radial_distortion,{'k': 0.00015},SVM,20,62,0.016129032258064516,0.6989247311827957,0.07020872865275142,0.17625299999997424,0.24993800000004285,
radial_distortion,{'k': -0.00015},PCA,20,62,0.016129032258064516,1.0,0.05028462998102467,0.04174700000010034,0.35788000000002285,
radial_distortion,{'k': -0.00015},Sparse Representation,20,62,0.016129032258064516,1.0,0.22770398481973433,2.700000004551839e-05,78.67503399999998,
radial_distortion,{'k': -0.00015},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.14231499051233396,0.12414499999999862,4.995817999999986,
radial_distortion,{'k': -0.00015},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.1157495256166983,0.09109599999999318,8.131110000000035,
radial_distortion,{'k': -0.00015},SVM,20,62,0.016129032258064516,0.6989247311827957,0.0777988614800759,0.1577669999999216,0.24095299999999042,
radial_distortion,{'k': 0.0003},PCA,20,62,0.016129032258064516,1.0,0.04364326375711575,0.044338000000038846,0.3513940000000275,
radial_distortion,{'k': 0.0003},Sparse Representation,20,62,0.016129032258064516,1.0,0.1204933586337761,2.7999999929306796e-05,74.88517999999999,
radial_distortion,{'k': 0.0003},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.08349146110056926,0.08997699999997621,5.151901000000066,
radial_distortion,{'k': 0.0003},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.0683111954459203,0.09655099999997674,8.112999999999943,
radial_distortion,{'k': 0.0003},SVM,20,62,0.016129032258064516,0.6989247311827957,0.06451612903225806,0.16984200000001692,0.261009999999942,
radial_distortion,{'k': -0.0003},PCA,20,62,0.016129032258064516,1.0,0.04269449715370019,0.04659900000001471,0.36705400000005284,
radial_distortion,{'k': -0.0003},Sparse Representation,20,62,0.016129032258064516,1.0,0.15749525616698293,2.8000000042993634e-05,80.73670300000003,
radial_distortion,{'k': -0.0003},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.1062618595825427,0.09330899999997655,5.000236000000086,
radial_distortion,{'k': -0.0003},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.08349146110056926,0.1025960000000623,7.714609999999993,
radial_distortion,{'k': -0.0003},SVM,20,62,0.016129032258064516,0.6989247311827957,0.06451612903225806,0.19146299999999883,0.2553980000000138,
radial_distortion,{'k': 0.0005},PCA,20,62,0.016129032258064516,1.0,0.03889943074003795,0.0313019999999824,0.3271829999999909,
radial_distortion,{'k': 0.0005},Sparse Representation,20,62,0.016129032258064516,1.0,0.0777988614800759,3.700000002027082e-05,81.33114,
radial_distortion,{'k': 0.0005},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.05977229601518026,0.11739399999987654,5.520437000000129,
radial_distortion,{'k': 0.0005},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.054079696394686905,0.12257399999998597,8.386126000000104,
radial_distortion,{'k': 0.0005},SVM,20,62,0.016129032258064516,0.6989247311827957,0.06261859582542695,0.1698399999997946,0.2593540000000303,
radial_distortion,{'k': -0.0005},PCA,20,62,0.016129032258064516,1.0,0.03700189753320683,0.03928799999994226,0.37673100000006343,
radial_distortion,{'k': -0.0005},Sparse Representation,20,62,0.016129032258064516,1.0,0.07590132827324478,2.7999999929306796e-05,81.83751800000005,
radial_distortion,{'k': -0.0005},Sparse Representation Dimension Reduction,20,62,0.016129032258064516,1.0,0.06261859582542695,0.11639800000011746,5.368922999999995,
radial_distortion,{'k': -0.0005},Sparse Representation Combined l1,20,62,0.016129032258064516,1.0,0.05218216318785579,0.09456199999999626,8.08761800000002,
radial_distortion,{'k': -0.0005},SVM,20,62,0.016129032258064516,0.6989247311827957,0.05787476280834915,0.18293900000003305,0.24186899999995148,
blur,{'blurwindow_size': 5},PCA,20,62,0.016129032258064516,1.0,0.05218216318785579,0.04547499999989668,0.37216300000000047,
blur,{'blurwindow_size': 5},Sparse Representation,20,62,0.016129032258064516,1.0,0.2049335863377609,3.200000014658144e-05,80.31288299999983,
