Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time
dfi,{'transform': 'Senior'},VGG_FACE,20,62,0.016129032258064516,"{'k=1': 1.0, 'k=3': 0.69892473118279574, 'k=5': 0.66774193548387095, 'k=7': 0.65161290322580645}","{'k=1': 0.30065359477124182, 'k=3': 0.24836601307189543, 'k=5': 0.26143790849673204, 'k=7': 0.25490196078431371}",21.40081299999997,195.710195
dfi,{'transform': 'Mustache'},VGG_FACE,20,62,0.016129032258064516,"{'k=1': 1.0, 'k=3': 0.69892473118279574, 'k=5': 0.66774193548387095, 'k=7': 0.65161290322580645}","{'k=1': 0.28431372549019607, 'k=3': 0.26143790849673204, 'k=5': 0.24836601307189543, 'k=7': 0.28431372549019607}",21.40081299999997,194.34848499999998
