Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time
dfi,{'transform': 'Senior'},VGG_FACE,20,62,0.016129032258064516,"{'k=1': 1.0, 'k=3': 0.65645161290322585, 'k=5': 0.64677419354838706, 'k=7': 0.6274193548387097}","{'k=1': 0.25285481239804242, 'k=3': 0.23817292006525284, 'k=5': 0.26753670473083196, 'k=7': 0.25122349102773245}",15.328071000000008,130.026697
dfi,{'transform': 'Mustache'},VGG_FACE,20,62,0.016129032258064516,"{'k=1': 1.0, 'k=3': 0.65645161290322585, 'k=5': 0.64677419354838706, 'k=7': 0.6274193548387097}","{'k=1': 0.2707993474714519, 'k=3': 0.26753670473083196, 'k=5': 0.28711256117455136, 'k=7': 0.28221859706362151}",15.328071000000008,130.301943
