Manipulation Type,Manipulation Parameters,Recognition Algorithm,Min Faces Per Person,Number of Distinct Faces,Chance Rate,Train Accuracy,Test Accuracy,Training Time,Testing Time
dfi,{'transform': 'Senior'},VGG_FACE,20,62,0.016129032258064516,"{'k=1': 1.0, 'k=3': 0.70033955857385399, 'k=5': 0.67741935483870963, 'k=7': 0.65280135823429541}","{'k=1': 0.27419354838709675, 'k=3': 0.29032258064516131, 'k=5': 0.27419354838709675, 'k=7': 0.25806451612903225}",26.425862000000052,247.9239020000001
dfi,{'transform': 'Mustache'},VGG_FACE,20,62,0.016129032258064516,"{'k=1': 1.0, 'k=3': 0.70033955857385399, 'k=5': 0.67741935483870963, 'k=7': 0.65280135823429541}","{'k=1': 0.24193548387096775, 'k=3': 0.30645161290322581, 'k=5': 0.32258064516129031, 'k=7': 0.30645161290322581}",26.425862000000052,249.18636500000002
